CustomerID,Recency,Monetary,Cluster
C5532484,64,145.0,0
C3663166,80,100.0,0
C3372888,80,2.0,0
C4732130,80,50.0,0
C7726319,80,139.0,0
C3036814,80,50.0,0
C8066332,80,25.0,0
C8742486,80,90.0,0
C7618815,80,60.0,0
C4342449,81,50.0,0
C8830837,80,47.0,0
C7013722,81,50.0,0
C6411866,81,100.0,0
C4732526,81,100.0,0
C8831431,81,60.0,0
C6918063,81,147.0,0
C2434240,81,100.0,0
C4618513,81,89.0,0
C5712430,81,20.0,0
C1811479,81,50.0,0
C2874292,81,111.0,0
C1432871,81,20.0,0
C7936383,81,100.87,0
C8516360,81,100.0,0
C4642673,81,50.0,0
C6941736,81,118.33,0
C2023175,81,108.0,0
C2069018,81,58.0,0
C2039514,81,90.81,0
C4216866,81,50.0,0
C7225157,81,10.0,0
C3325948,81,51.0,0
C2438876,81,121.7,0
C4942331,81,53.0,0
C1718381,82,20.0,0
C1510840,81,50.0,0
C2034545,82,1.0,0
C8524249,82,105.0,0
C2034340,82,115.0,0
C8042168,82,8.0,0
C2938930,82,40.0,0
C4318126,77,97.0,0
C2426078,82,100.0,0
C2411137,77,80.0,0
C5618374,77,150.0,0
C3510753,82,153.0,0
C5826312,77,100.0,0
C2130666,82,87.0,0
C3361984,77,41.0,0
C7040637,77,29.0,0
C2922134,77,50.0,0
C4254649,77,139.51,0
C1310760,78,50.0,0
C7714468,77,148.0,0
C5815356,77,100.0,0
C1837819,78,120.0,0
C8017865,82,142.0,0
C6934749,80,20.0,0
C4385914,80,25.0,0
C2237686,80,20.0,0
C3336161,80,68.0,0
C1557322,80,60.0,0
C5341114,80,59.0,0
C4924380,80,72.0,0
C3412364,80,100.0,0
C9025221,80,150.0,0
C1944382,80,50.0,0
C5418121,80,100.0,0
C4935147,80,30.0,0
C8910362,80,45.0,0
C1720149,80,150.0,0
C3932451,80,50.0,0
C1732036,80,100.0,0
C8273180,80,26.0,0
C3138270,80,150.0,0
C5923069,80,70.0,0
C3971821,81,70.0,0
C2636349,81,140.0,0
C3388450,81,100.0,0
C9032971,81,68.0,0
C4423043,81,82.35,0
C4631785,81,50.0,0
C3235623,81,1.0,0
C7033558,82,25.0,0
C2339440,81,100.0,0
C1855322,81,98.14,0
C8672819,81,2.0,0
C7232155,82,50.0,0
C5359942,82,9.0,0
C7637661,81,26.0,0
C6538180,82,110.0,0
C5412885,82,10.0,0
C3442978,82,7.0,0
C5082890,82,14.0,0
C3641875,82,93.0,0
C4826750,82,50.0,0
C8312444,82,99.0,0
C9036426,82,60.0,0
C2537360,82,50.0,0
C2219711,77,30.0,0
C3510629,77,60.0,0
C7775513,82,124.0,0
C2541549,77,100.0,0
C4341947,77,60.0,0
C1110015,77,100.0,0
C5325149,77,140.0,0
C2939861,77,91.56,0
C6331624,77,29.0,0
C6824111,77,141.0,0
C2425014,77,30.0,0
C4623316,77,110.0,0
C1117985,77,100.0,0
C7654126,77,70.55,0
C3413077,77,100.0,0
C7739883,78,1.0,0
C7919632,77,154.0,0
C5740764,77,89.0,0
C6471674,78,50.0,0
C7922074,78,98.0,0
C8219013,78,20.0,0
C7034179,71,15.0,0
C1318878,64,133.0,0
C7542529,80,150.0,0
C7841781,80,48.0,0
C4822069,80,70.0,0
C6130255,80,50.0,0
C8541975,80,100.0,0
C6268482,80,50.0,0
C7336080,80,109.0,0
C1616129,80,135.0,0
C1824244,80,104.0,0
C5634754,80,100.0,0
C5735090,80,98.0,0
C7041976,81,1.0,0
C1869741,81,80.0,0
C8612729,81,155.0,0
C7835290,81,31.0,0
C8379661,81,100.0,0
C6042392,81,35.0,0
C8519138,81,54.68,0
C8112454,81,40.0,0
C4943523,82,100.0,0
C8012476,81,30.0,0
C5024379,81,10.0,0
C5242653,81,50.0,0
C4111256,81,71.88,0
C2125963,82,7.6,0
C6132032,82,90.0,0
C1639649,82,10.0,0
C5319137,82,1.0,0
C2943385,82,30.0,0
C5642083,82,100.0,0
C4439741,82,150.0,0
C7239738,82,55.87,0
C2739450,82,100.0,0
C6424431,82,20.0,0
C8121225,82,50.0,0
C2547482,82,1.0,0
C7421457,77,25.0,0
C2535374,77,100.0,0
C3723061,77,154.0,0
C5340078,77,46.0,0
C2040882,77,135.24,0
C7934072,77,50.0,0
C4036556,77,149.0,0
C1934453,77,83.0,0
C3335563,78,46.0,0
C4317948,77,20.0,0
C5910430,77,35.0,0
C7217832,78,60.0,0
C2227313,78,148.0,0
C3111018,78,99.0,0
C4132753,78,42.0,0
C3710666,80,6.0,0
C6520089,80,20.5,0
C1578625,80,20.0,0
C3921436,80,55.0,0
C7547733,80,90.0,0
C2411180,80,100.0,0
C7716266,80,100.0,0
C2921528,80,5.0,0
C6232744,80,1.0,0
C3614176,80,62.0,0
C1321059,80,135.0,0
C3421741,80,115.0,0
C3148627,81,20.0,0
C7462837,81,100.0,0
C5535639,81,1.09,0
C4147611,81,147.0,0
C8934237,81,110.0,0
C4949291,81,20.0,0
C8312040,81,25.0,0
C8941580,81,70.0,0
C4177548,81,42.0,0
C5014566,82,102.0,0
C5672826,81,2.0,0
C5613063,81,100.0,0
C1219223,82,95.0,0
C7642059,82,105.62,0
C5313955,82,150.0,0
C7713012,82,25.0,0
C9033115,82,69.0,0
C5028382,82,135.0,0
C6718020,82,100.0,0
C4837065,82,40.0,0
C7737660,82,100.0,0
C3615485,82,120.0,0
C1016343,82,150.0,0
C4030918,77,100.0,0
C8041262,82,23.0,0
C1735382,77,2.6,0
C3613384,77,137.0,0
C8410835,77,148.0,0
C7520327,77,70.0,0
C1740668,77,100.0,0
C8719126,77,100.0,0
C6426248,77,110.0,0
C6235949,77,135.0,0
C1026952,77,150.0,0
C6342264,77,100.0,0
C9027612,78,50.0,0
C4428216,78,17.0,0
C8838672,78,100.0,0
C5141438,77,101.0,0
C2813488,78,149.0,0
C6326344,78,100.0,0
C7935341,78,30.0,0
C6831681,78,100.0,0
C8642333,78,52.0,0
C5019775,80,20.0,0
C7872859,80,2.0,0
C3835168,80,27.0,0
C6611630,80,140.0,0
C3729586,80,30.0,0
C2711332,80,120.0,0
C1593428,80,100.0,0
C7431239,80,147.0,0
C3010085,80,129.0,0
C8617622,80,10.0,0
C1917853,80,127.0,0
C6131340,81,78.0,0
C7125939,81,140.0,0
C7283279,81,100.0,0
C5435373,81,150.0,0
