CustomerID,Recency,Monetary,Cluster
C5228983,80,1580.0,1
C8385586,80,204.0,1
C7910322,80,259.0,1
C8718115,80,970.07,1
C7521538,80,500.0,1
C5813442,80,900.0,1
C6518580,80,659.0,1
C4726121,80,217.86,1
C1410623,80,655.0,1
C7352734,80,2477.75,1
C7919133,80,764.0,1
C5535436,80,270.0,1
C8529391,80,1145.0,1
C6284614,80,388.0,1
C2715553,80,1000.0,1
C4114816,80,658.0,1
C2626767,80,2199.0,1
C8892363,80,1297.56,1
C3641969,80,200.0,1
C1023433,80,200.0,1
C5411524,80,1030.0,1
C8933053,80,200.0,1
C5341329,80,450.0,1
C6321384,80,700.0,1
C1918292,80,1289.0,1
C4234437,80,966.0,1
C6622223,80,440.0,1
C5230259,80,1569.6,1
C8717322,80,800.0,1
C3789060,80,208.0,1
C2115329,80,890.0,1
C3738683,80,723.75,1
C5322128,80,300.0,1
C7742065,80,859.0,1
C6565829,80,2000.0,1
C1388212,80,289.0,1
C2874271,80,223.0,1
C5031313,80,284.89,1
C5752351,80,510.0,1
C5410376,80,1993.0,1
C5635431,80,1800.0,1
C8314456,80,350.0,1
C3615050,80,445.0,1
C5571128,80,248.0,1
C8322922,80,615.0,1
C2721746,80,459.0,1
C1314269,80,200.0,1
C9048454,81,560.0,1
C8588073,81,399.0,1
C4733463,81,500.0,1
C1411017,81,2547.0,1
C1440044,81,2169.0,1
C5427135,81,1154.0,1
C1715040,81,1364.0,1
C3457765,81,300.0,1
C4423554,81,1005.0,1
C2418632,81,633.0,1
C6434282,81,2471.08,1
C7834422,81,327.44,1
C7195730,81,1254.0,1
C2837235,81,929.92,1
C5653936,81,233.09,1
C2913561,81,197.0,1
C4140142,81,1490.0,1
C3513963,81,200.0,1
C5319680,81,1889.0,1
C2038257,81,250.0,1
C5116887,81,451.0,1
C5231145,81,2815.0,1
C7263879,81,988.6,1
C6532589,81,930.0,1
C2524775,81,300.0,1
C2119553,81,1616.0,1
C5359586,81,423.0,1
C2434179,81,914.0,1
C8121129,81,2000.0,1
C1536545,81,310.0,1
C6935446,81,850.0,1
C6036447,81,470.0,1
C2710531,81,288.0,1
C1715338,81,1000.0,1
C4128320,81,296.0,1
C3421277,81,2000.0,1
C6310866,81,250.0,1
C1236181,81,350.0,1
C3410989,81,399.0,1
C6832852,82,365.0,1
C3731416,81,500.0,1
C5796792,81,600.0,1
C6417563,81,200.0,1
C8918229,81,975.0,1
C2316758,82,297.0,1
C3014522,82,315.0,1
C7420469,82,500.0,1
C1823564,82,606.9,1
C5525968,82,300.0,1
C4486736,82,1273.0,1
C3821947,82,557.0,1
C8929960,82,1170.0,1
C4637413,82,429.0,1
C8614481,82,1060.0,1
C1516290,82,1000.0,1
C7613151,82,900.0,1
C6321566,82,195.0,1
C4214116,82,2398.0,1
C6142282,82,1728.64,1
C8023265,82,300.0,1
C3838849,82,500.0,1
C2841428,82,200.0,1
C5714056,82,330.0,1
C6338667,82,2500.0,1
C6738386,82,1752.0,1
C3718077,82,259.0,1
C6734828,82,700.0,1
C8419282,82,169.0,1
C7152128,82,297.0,1
C1420186,82,250.0,1
C4832036,82,314.0,1
C5712319,82,1050.0,1
C4110083,82,1148.0,1
C1178724,77,650.0,1
C4111378,82,500.0,1
C1475180,82,969.97,1
C8230463,77,646.72,1
C3664031,77,500.0,1
C1922471,82,298.07,1
C2241161,82,213.0,1
C8236888,82,2000.0,1
C2718972,77,389.4,1
C6011336,82,1533.0,1
C5526677,82,1499.0,1
C4063090,77,275.0,1
C3819176,77,776.0,1
C5027583,82,250.0,1
C8079541,77,1220.0,1
C8525571,77,367.0,1
C2433065,77,540.0,1
C5684784,77,500.0,1
C8892850,77,800.0,1
C1551959,77,916.0,1
C3426816,77,457.0,1
C5225977,77,1270.0,1
C7230648,77,300.0,1
C2826755,77,849.0,1
C8482033,77,2000.0,1
C1019570,77,2384.98,1
C6926059,77,778.5,1
C9043630,77,2809.0,1
C8137461,77,1750.0,1
C1430542,77,1318.0,1
C6573573,77,360.0,1
C4522358,77,1830.33,1
C4016391,77,374.0,1
C8527192,77,1085.0,1
C8413580,77,198.0,1
C6233313,77,680.0,1
C1728929,77,500.0,1
C5581032,77,1110.0,1
C1713022,77,250.0,1
C6840588,77,450.0,1
C4545864,77,255.0,1
C4714179,77,536.0,1
C4710626,77,796.0,1
C7424653,77,1000.0,1
C4016127,77,1546.0,1
C7759538,77,1500.0,1
C1431572,77,1836.0,1
C6448089,77,295.0,1
C4738866,77,430.0,1
C5120525,77,300.0,1
C4610557,77,2446.06,1
C7517970,77,205.0,1
C8421150,77,790.0,1
C7488712,77,536.0,1
C3726691,78,2650.0,1
C6824667,77,2098.09,1
C3633381,77,220.0,1
C7523137,77,385.7,1
C2429021,77,1585.0,1
C5312331,78,400.0,1
C4235055,78,495.0,1
C1036836,77,630.0,1
C8435780,77,550.0,1
C7434520,78,995.0,1
C6153121,77,527.0,1
C4927689,78,532.0,1
C1719550,78,929.0,1
C7513450,78,310.0,1
C6019035,77,500.0,1
C3424173,78,2260.91,1
C2514114,78,359.0,1
C6530217,78,449.0,1
C1021343,82,467.0,1
C2121516,80,1017.45,1
C3324446,80,2797.87,1
C1448122,80,500.0,1
C1035611,80,1000.0,1
C2134984,80,1847.0,1
C8836420,80,2036.0,1
C1122079,80,373.0,1
C3834357,80,500.0,1
C4124590,80,1000.0,1
C6533484,80,1026.0,1
C1633460,80,350.0,1
C5420559,80,1142.0,1
C5185711,80,717.1,1
C7517754,80,521.0,1
C6232927,80,290.0,1
C3520140,80,299.0,1
C2641653,80,171.0,1
C5910037,80,303.0,1
C4325491,80,1600.0,1
C5718182,80,1700.0,1
C3575960,80,200.0,1
C5328963,80,2391.0,1
C1527122,80,2000.0,1
C2615312,80,740.0,1
C5172725,80,255.0,1
C5528461,80,353.0,1
C1077581,80,704.0,1
C3973144,80,273.0,1
C2513037,80,200.0,1
C6931845,80,230.0,1
C5216066,80,800.0,1
C4740584,80,240.0,1
C5058413,80,270.0,1
C6032853,80,674.0,1
C5228470,80,944.0,1
C3942743,80,160.0,1
C8016851,80,2504.0,1
C4529912,80,325.85,1
C2224462,80,1468.65,1
C7123458,81,2000.0,1
C8424381,80,461.37,1
C3834567,80,300.0,1
C4914318,80,200.0,1
C3517441,81,500.0,1
C8132349,81,1680.0,1
C5029665,81,377.0,1
C4314019,81,361.0,1
C3242625,81,1674.94,1
C4636917,81,498.0,1
C6334750,81,740.0,1
C6634590,81,638.0,1
C1141919,81,848.0,1
C5029815,81,2097.74,1
C1627538,81,1000.0,1
C3125968,81,2700.0,1
C2735274,81,700.0,1
C2120860,81,576.03,1
C8416940,81,1422.87,1
C2742328,81,806.0,1
C7534834,81,2185.0,1
C6661532,81,528.28,1
C2738928,81,410.0,1
C7417086,81,1827.0,1
C6831935,81,250.0,1
C2820043,81,740.0,1
C8524468,81,300.0,1
C4328247,81,387.0,1
C5331435,81,341.0,1
C6779915,81,1950.0,1
C1520285,81,300.0,1
C2638652,81,200.0,1
C5037286,81,1691.0,1
C4420835,81,500.0,1
C4729071,81,897.0,1
C5627918,81,258.0,1
C7631381,82,535.0,1
C4519965,82,200.0,1
C7513153,81,335.0,1
C1328235,82,595.0,1
C7074175,82,599.0,1
C3683640,82,700.0,1
C3139480,82,2000.0,1
C8615274,82,445.0,1
C5011068,82,337.04,1
C2129751,82,210.0,1
C4912754,82,301.03,1
C4320771,82,565.0,1
C2639560,82,255.0,1
C6142669,82,600.0,1
C7246123,82,1000.0,1
C3495584,82,257.0,1
C8527082,82,200.59,1
C1914685,82,200.0,1
C5510725,82,311.0,1
C3377354,82,287.5,1
C8348871,82,200.0,1
C1041863,82,1400.0,1
C4535939,82,571.0,1
C8254033,82,2300.0,1
C3439723,82,339.0,1
C9048138,82,660.0,1
C8111631,82,1599.0,1
C5220732,82,1028.3,1
C2934875,82,500.0,1
C5196481,82,1070.0,1
C7210666,77,260.0,1
C6525751,82,553.0,1
C8126867,77,184.0,1
C1142028,82,500.0,1
C3636190,82,398.0,1
C6920029,82,2100.0,1
C2322275,82,225.0,1
C7321386,82,603.0,1
C1415077,77,1000.0,1
C4215024,77,300.0,1
C2075726,77,1400.0,1
C4712522,77,428.0,1
C7020836,82,850.0,1
C4632829,77,500.0,1
C2539349,77,1000.0,1
C4317586,77,569.94,1
C6719945,77,1670.0,1
C5124185,77,475.6,1
C6780942,77,299.0,1
C2580837,77,355.0,1
C6527852,77,225.0,1
C5119854,77,360.0,1
C5064163,77,1400.0,1
C2935271,77,1800.0,1
C6928655,77,2099.5,1
C4063835,77,1100.0,1
C5036327,77,974.0,1
C7130688,77,582.0,1
C2378173,77,1780.0,1
C5625014,77,223.0,1
C8942071,77,925.0,1
C4623964,77,1699.0,1
C6724148,77,650.0,1
C2610946,77,2730.0,1
C1242869,77,2826.0,1
C5317826,77,815.0,1
C7314626,77,325.0,1
C5631958,77,1490.0,1
C9038153,77,1050.0,1
C1321260,77,700.0,1
C2218978,77,347.0,1
C6533244,78,1355.0,1
C7729118,77,500.0,1
C3322784,77,1949.0,1
C1738932,77,2000.0,1
C7482179,78,210.0,1
