PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,QUARTER,YEAR
Pelham Bay Park,BRONX,2771.747,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Van Cortlandt Park,BRONX,1146.43,ONE ACRE OR LARGER,0,0.0,0.0,0.0,1,0.0,0.0,1.0,Q1,2015
Rockaway Beach And Boardwalk,QUEENS,1072.564,ONE ACRE OR LARGER,0,0.0,1.0,0.0,0,0.0,0.0,1.0,Q1,2015
Freshkills Park,STATEN ISLAND,913.32,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Flushing Meadows Corona Park,QUEENS,897.69,ONE ACRE OR LARGER,0,0.0,0.0,1.0,1,1.0,1.0,4.0,Q1,2015
Latourette Park & Golf Course,STATEN ISLAND,843.97,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Marine Park,BROOKLYN,798.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Belt Parkway/Shore Parkway,BROOKLYN/QUEENS,760.43,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Bronx Park,BRONX,718.373,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Franklin D. Roosevelt Boardwalk And Beach,STATEN ISLAND,644.35,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Alley Pond Park,QUEENS,635.514,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Prospect Park,BROOKLYN,526.25,ONE ACRE OR LARGER,0,0.0,1.0,0.0,0,1.0,0.0,2.0,Q1,2015
Forest Park,QUEENS,506.86,ONE ACRE OR LARGER,0,0.0,1.0,0.0,0,1.0,0.0,2.0,Q1,2015
Grand Central Parkway,QUEENS,460.16,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Ferry Point Park,BRONX,413.8,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Coney Island Beach & Boardwalk,BROOKLYN,399.203,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Cunningham Park,QUEENS,358.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Richmond Parkway,STATEN ISLAND,350.983,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Cross Island Parkway,QUEENS,326.895,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Great Kills Park,STATEN ISLAND,315.094,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Wolfe'S Pond Park,STATEN ISLAND,302.693,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Conference House Park,STATEN ISLAND,286.382,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Randall'S Island Park,MANHATTAN,256.111,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Rockaway Community Park,QUEENS,255.4,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Kissena Park,QUEENS,237.147,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Riverside Park,MANHATTAN,235.765,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,2.0,0.0,2.0,Q1,2015
Hutchinson River Parkway,BRONX,229.14,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Blue Heron Park,STATEN ISLAND,217.45,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Dyker Beach Park,BROOKLYN,216.655,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Willowbrook Park,STATEN ISLAND,214.947,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Staten Island Industrial Park,STATEN ISLAND,210.928,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Silver Lake Park,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Bronx River Parkway,BRONX,205.647,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Soundview Park,BRONX,205.31,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Belt Parkway,QUEENS,202.647,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Willowbrook Parkway,STATEN ISLAND,198.481,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Inwood Hill Park,MANHATTAN,196.398,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Clove Lakes Park,STATEN ISLAND,193.423,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Fort Washington Park,MANHATTAN,184.143,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Idlewild Park,QUEENS,180.85,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Wards Island Park,MANHATTAN,176.581,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
South Shore Country Club,STATEN ISLAND,173.994,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Saw Mill Creek Marsh,STATEN ISLAND,171.778,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Blood Root Valley,STATEN ISLAND,161.242,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Jamaica Bay Park,QUEENS,149.54,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Kissena Corridor Park,QUEENS,146.81,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Highland Park,BROOKLYN/QUEENS,146.339,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Arden Woods,STATEN ISLAND,145.864,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Riverdale Park,BRONX,144.29,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Ocean Parkway Malls,BROOKLYN,140.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Bloomingdale Park,STATEN ISLAND,138.1,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Ocean Breeze Park,STATEN ISLAND,136.568,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Canarsie Park,BROOKLYN,132.2,ONE ACRE OR LARGER,0,0.0,1.0,0.0,0,0.0,0.0,1.0,Q1,2015
Highbridge Park Manhattan Side,MANHATTAN,130.1,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Crotona Park,BRONX,127.5,ONE ACRE OR LARGER,0,1.0,1.0,0.0,0,0.0,0.0,2.0,Q1,2015
Paerdegat Basin Park,BROOKLYN,118.795,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,1.0,0.0,1.0,Q1,2015
Hook Creek Park,QUEENS,111.163,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Crescent Beach Park,STATEN ISLAND,110.96,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Clearview Park Golf Course,QUEENS,110.93,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Baisley Pond Park,QUEENS,109.609,ONE ACRE OR LARGER,0,0.0,1.0,0.0,0,0.0,0.0,1.0,Q1,2015
Pelham Parkway,BRONX,108.91,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Pralls Island,STATEN ISLAND,107.514,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Mariners Marsh Park,STATEN ISLAND,107.2,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Douglaston Park Golf Course,QUEENS,104.6,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Lemon Creek Park,STATEN ISLAND,104.545,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Spring Creek Park,BROOKLYN/QUEENS,99.566,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
High Rock Park,STATEN ISLAND,94.1,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Long Pond Park,STATEN ISLAND,91.948,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Brookville Park,QUEENS,89.946,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Isle Of Meadows,STATEN ISLAND,87.516,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Calvert Vaux Park,BROOKLYN,85.527,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Pugsley Creek Park,BRONX,83.615,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Snug Harbor Cultural Center,STATEN ISLAND,83.3,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Mosholu Parkway,BRONX,80.936,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Mcguire Fields,BROOKLYN,77.181,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Fresh Creek Nature Preserve,BROOKLYN,77.044,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Jackie Robinson Parkway,BROOKLYN/QUEENS,72.75,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Fort Tryon Park,MANHATTAN,67.213,ONE ACRE OR LARGER,0,1.0,1.0,0.0,0,0.0,0.0,2.0,Q1,2015
Riverside Park South,MANHATTAN,66.693,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Eastern Parkway,BROOKLYN,65.7,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Four Sparrow Marsh,BROOKLYN,64.665,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Fort Totten Park,QUEENS,60.394,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Astoria Park,QUEENS,59.956,ONE ACRE OR LARGER,1,0.0,0.0,0.0,0,1.0,0.0,2.0,Q1,2015
Laurelton Parkway,QUEENS,59.612,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Red Hook Recreation Area,BROOKLYN,58.503,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Shore Park And Parkway,BROOKLYN,58.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Spring Creek Park Addition,BROOKLYN/QUEENS,57.921,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Juniper Valley Park,QUEENS,55.639,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Little Bay Park,QUEENS,55.22,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Powell'S Cove Park,QUEENS,55.023,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Henry Hudson Parkway,BRONX,54.1,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Harlem River Park,MANHATTAN,53.967,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Dubos Point Wildlife Sanctuary,QUEENS,53.298,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Roy Wilkins Recreation Center,QUEENS,53.238,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,1.0,0.0,1.0,Q1,2015
Reed'S Basket Willow Swamp Park,STATEN ISLAND,52.375,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Brooklyn Botanic Garden,BROOKLYN,47.57,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Meredith Woods,STATEN ISLAND,47.521,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Queens Farm Park,QUEENS,47.08,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
East River Park,MANHATTAN,45.88,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Crocheron Park,QUEENS,45.79,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Macombs Dam Park,BRONX,44.174,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,1.0,0.0,1.0,Q1,2015
Manhattan Beach Park,BROOKLYN,42.941,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Udall'S Park Preserve,QUEENS,42.768,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Fairview Park,STATEN ISLAND,42.6,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Bayswater Park,QUEENS,40.07,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Deere Park,STATEN ISLAND,39.779,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Parade Ground,BROOKLYN,39.5,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Claremont Park,BRONX,38.536,ONE ACRE OR LARGER,0,0.0,0.0,1.0,0,0.0,0.0,1.0,Q1,2015
Broad Channel Wetlands,QUEENS,37.95,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Coney Island Boat Basin,BROOKLYN,36.81,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Bunker Ponds Park,STATEN ISLAND,36.691,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Seton Falls Park,BRONX,35.771,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Mccarren Park,BROOKLYN,35.713,ONE ACRE OR LARGER,0,0.0,2.0,0.0,0,2.0,0.0,4.0,Q1,2015
St. Mary'S Park Bronx,BRONX,35.311,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Shooters Island,STATEN ISLAND,34.689,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
North Brother Island,BRONX,30.395,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Fort Greene Park,BROOKLYN,30.168,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Battery Park City,MANHATTAN,29.99,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Morningside Park,MANHATTAN,29.888,ONE ACRE OR LARGER,0,0.0,3.0,0.0,1,0.0,0.0,4.0,Q1,2015
Macneil Park,QUEENS,28.87,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Alley Athletic Playground,QUEENS,27.531,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Vernam Barbadoes Peninsula,QUEENS,27.484,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
College Point Fields,QUEENS,26.83,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Kaiser Park,BROOKLYN,26.257,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Sunset Park,BROOKLYN,24.498,ONE ACRE OR LARGER,0,0.0,0.0,1.0,0,0.0,0.0,1.0,Q1,2015
Owl'S Head Park,BROOKLYN,24.218,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Springfield Park,QUEENS,23.543,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Recreational Area,MANHATTAN,23.093,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
King Fisher Park,STATEN ISLAND,23.01,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Siedenburg Park,STATEN ISLAND,22.882,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
St. Nicholas Park,MANHATTAN,22.74,ONE ACRE OR LARGER,0,0.0,3.0,0.0,0,0.0,0.0,3.0,Q1,2015
South Brother Island,BRONX,22.16,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Locust Point Marina,BRONX,22.07,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Battery Park,MANHATTAN,21.88,ONE ACRE OR LARGER,0,1.0,0.0,0.0,0,0.0,0.0,1.0,Q1,2015
Brooklyn Bridge Park,BROOKLYN,21.185,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Asser Levy Park,BROOKLYN,21.039,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Seaside Wildlife Nature Park,STATEN ISLAND,20.907,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Wave Hill,BRONX,20.867,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Queensbridge Park,QUEENS,20.34,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Marcus Garvey Park,MANHATTAN,20.165,ONE ACRE OR LARGER,0,0.0,2.0,0.0,0,0.0,0.0,2.0,Q1,2015
Isham Park,MANHATTAN,20.132,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Williamsbridge Oval,BRONX,19.749,ONE ACRE OR LARGER,0,0.0,0.0,2.0,0,0.0,0.0,2.0,Q1,2015
Brant Point Wildlife Sanctuary,QUEENS,19.556,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Broad Channel American Park,QUEENS,18.768,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Theodore Roosevelt Park,MANHATTAN,17.574,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Bensonhurst Park,BROOKLYN,17.5,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Lincoln Terrace / Arthur S. Somers Park,BROOKLYN,17.14,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
John Golden Park,QUEENS,17.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Bayview Terrace Park,STATEN ISLAND,16.944,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Jones Woods Park,STATEN ISLAND,16.93,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Francis Lewis Park,QUEENS,16.831,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Leif Ericson Park,BROOKLYN,16.8,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Eibs Pond Park,STATEN ISLAND,16.505,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Railroad Park Queens,QUEENS,16.439,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Breukelen Ballfields,BROOKLYN,16.16,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Franz Sigel Park,BRONX,15.99,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Thomas Jefferson Park,MANHATTAN,15.524,ONE ACRE OR LARGER,0,0.0,0.0,1.0,0,1.0,0.0,2.0,Q1,2015
Alice Austen Park,STATEN ISLAND,15.524,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Mill Pond Park,BRONX,15.496,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,1.0,1.0,Q1,2015
Sherman Creek,MANHATTAN,15.383,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Harris Park,BRONX,15.32,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Goodhue,STATEN ISLAND,15.064,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Mullaly Park,BRONX,15.049,ONE ACRE OR LARGER,0,0.0,1.0,0.0,0,0.0,0.0,1.0,Q1,2015
Tremont Park,BRONX,15.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Carl Schurz Park,MANHATTAN,14.938,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Grand Army Plaza Brooklyn,BROOKLYN,14.257,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Von Briesen Park,STATEN ISLAND,13.938,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Motor Parkway,QUEENS,13.894,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Unnamed Park On Beach Channel Drive & Beach 116Th Street To Beach 108Th Street,QUEENS,13.826,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Beach 17 Playground,QUEENS,13.75,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Tudor Park,QUEENS,13.543,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Aqueduct Walk,BRONX,13.533,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Father Macris Park,STATEN ISLAND,13.469,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Starlight Park,BRONX,12.93,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Jackie Robinson Park Manhattan,MANHATTAN,12.772,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Brooklyn Museum,BROOKLYN,12.66,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Beach Channel Park,QUEENS,12.624,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Greenbelt Native Plant Center,STATEN ISLAND,12.247,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Bowne Park,QUEENS,11.788,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Seton Park,BRONX,11.689,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Rufus King Park,QUEENS,11.5,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Frank Golden Park,QUEENS,11.422,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
St. James Park,BRONX,11.39,ONE ACRE OR LARGER,0,0.0,2.0,0.0,0,0.0,0.0,2.0,Q1,2015
Richmond Terrace Wetlands,STATEN ISLAND,11.193,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Barretto Point Park,BRONX,11.161,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
St. Albans Park,QUEENS,10.79,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Gemini Fields,QUEENS,10.761,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Givans Creek Woods,BRONX,10.735,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Betsy Head Park,BROOKLYN,10.555,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Tompkins Square Park,MANHATTAN,10.502,ONE ACRE OR LARGER,0,0.0,1.0,0.0,0,0.0,0.0,1.0,Q1,2015
Cpl. Thompson Park,STATEN ISLAND,10.5,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Commodore Barry Park,BROOKLYN,10.391,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Cadman Plaza Park,BROOKLYN,10.384,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Broadway Malls,MANHATTAN,10.242,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Steeplechase Park,BROOKLYN,10.01,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
Hunter'S Point South Park,QUEENS,10.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2015
