PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,QUARTER,YEAR
Korean War Veterans Plaza,BROOKLYN,1.195,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Stroud Playground,BROOKLYN,1.194,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Tilden Playground,BROOKLYN,1.19,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Underwood Park,BROOKLYN,1.187,ONE ACRE OR LARGER,0,0.0,1.0,0.0,0,0.0,0.0,1.0,Q1,2020
South Oxford Park,BROOKLYN,1.187,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Lafayette Playground On Stillwell Avenue,BROOKLYN,1.187,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Grove Hill Playground,BRONX,1.186,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
La Guardia Playground,BROOKLYN,1.179,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Unnamed Park On Drumgoole Road & Vernon Avenue,STATEN ISLAND,1.178,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Belmont Playground Brooklyn,BROOKLYN,1.177,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Steuben Playground,BROOKLYN,1.171,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
William Sheridan Playground,BROOKLYN,1.17,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
The Cyclone,BROOKLYN,1.17,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Oakland Gardens,QUEENS,1.166,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Ehrenreich-Austin Playground,QUEENS,1.161,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
University Place,BROOKLYN,1.161,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Hillside Park Queens,QUEENS,1.16,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Harding Park Beautification Project,BRONX,1.16,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Sitting Area At Hoyt Avenue,QUEENS,1.16,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Cuyler Gore Park,BROOKLYN,1.158,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Bath Playground,BROOKLYN,1.157,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Police Officer Nicholas Demutiis Park,QUEENS,1.151,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
"""Uncle"" Vito E. Maranzano Glendale Playground",QUEENS,1.15,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Rappaport Playground,BROOKLYN,1.148,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
East Springfield Playground,QUEENS,1.146,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Willets Point Playground,QUEENS,1.145,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Toad Hall Playground,STATEN ISLAND,1.145,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Seaside Playground,QUEENS,1.144,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Corporal John A. Seravalli Playground,MANHATTAN,1.143,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Unnamed Park On Rockaway Boardwalk & B 28Th St,QUEENS,1.14,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Poppenhusen Playground,QUEENS,1.14,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Sobel Court Park,STATEN ISLAND,1.137,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
D'Emic Playground,BROOKLYN,1.13,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Westbourne Playground,QUEENS,1.13,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Fidler-Wyckoff House Park,BROOKLYN,1.13,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Unnamed Park On Soundview Avenue,BRONX,1.13,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Prescott Playground,STATEN ISLAND,1.124,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Lopez Playground,STATEN ISLAND,1.115,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Hugh J. Grant Circle,BRONX,1.11,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
P.S. 29 Ball Field,BRONX,1.107,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Pena Herrera Park,BROOKLYN,1.107,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Mentone Playground,QUEENS,1.102,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Middleton Playground,BROOKLYN,1.101,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
De Hostos Playground,BROOKLYN,1.1,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Saratoga Ballfields,BROOKLYN,1.095,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Robert Moses Playground,MANHATTAN,1.093,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Stockton Playground,BROOKLYN,1.089,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Louis Armstrong Playground,QUEENS,1.085,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Jacob'S Ladder Playground,BROOKLYN,1.085,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Unnamed Park On Hamilton Avenue,BROOKLYN,1.08,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Latimer Playground,QUEENS,1.076,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Unnamed Park On Melrose Avenue,BRONX,1.075,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Marlboro Playground,BROOKLYN,1.072,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
North Rochdale Playground,QUEENS,1.071,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,1.0,0.0,1.0,Q1,2020
Jerome Playground,BROOKLYN,1.068,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Great Kills Park At Hillcrest Avenue,STATEN ISLAND,1.065,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Fermi Playground,BROOKLYN,1.061,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Ericsson Playground,BROOKLYN,1.06,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Telephone Playground,QUEENS,1.056,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Mellett Playground,BROOKLYN,1.056,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Nellie Bly Park,BROOKLYN,1.056,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Sedgwick Playground,BRONX,1.054,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Bruckner Playground,BRONX,1.053,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Millbrook Playground,BRONX,1.053,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Rocket Park,QUEENS,1.052,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Playground 103 Ciii,MANHATTAN,1.052,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Beach Channel Playground,QUEENS,1.051,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Lozada Playground,BRONX,1.05,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
L/Cpl Thomas P. Noonan Jr. Playground,QUEENS,1.05,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
James Weldon Johnson Playground,MANHATTAN,1.048,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Springfield Park North,QUEENS,1.045,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Nicholas Naquan Heyward Jr. Park,BROOKLYN,1.041,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Fish Playground,BROOKLYN,1.035,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Planeview Park,QUEENS,1.035,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Gilbert Ramirez Park,BROOKLYN,1.034,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Woodtree Playground,QUEENS,1.033,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Van Alst Playground,QUEENS,1.033,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Oxport Playground,BROOKLYN,1.033,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Hammel Playground,QUEENS,1.03,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Sunrise Playground,QUEENS,1.025,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Eastchester Playground,BRONX,1.025,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Powell Playground,BROOKLYN,1.024,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Kaltenmeier Playground,STATEN ISLAND,1.02,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Matthews Muliner Playground,BRONX,1.02,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Bowling Green,MANHATTAN,1.016,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Annadale Playground,QUEENS,1.013,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Curtis Playground,BROOKLYN,1.003,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Melrose Playground,BRONX,1.001,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Caserta Playground,BRONX,1.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Chester Playground,BROOKLYN,1.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Pink Playground,BROOKLYN,1.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Howard Playground,BROOKLYN,1.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Plimpton Playground,BRONX,1.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Blake Hobbs Playground,MANHATTAN,1.0,ONE ACRE OR LARGER,0,0.0,0.0,1.0,0,0.0,0.0,1.0,Q1,2020
Playground 174,BRONX,1.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Randall Playground,BRONX,1.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Jackie Robinson Playground,BROOKLYN,1.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Monsignor Kett Playground,MANHATTAN,1.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Hackett Park,BRONX,1.0,ONE ACRE OR LARGER,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Martin Luther King Playground,MANHATTAN,1.0,ONE ACRE OR LARGER,0,0.0,1.0,0.0,0,0.0,0.0,1.0,Q1,2020
Ruppert Park,MANHATTAN,0.997,PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Bellerose Playground,QUEENS,0.996,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Arverne Playground,QUEENS,0.993,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
